5.69595E+17,negative,0.6384,Customer Service Issue,0.6384,American,,jkordyback,,0,@AmericanAir I’ll play it by ear. I know that you are doing your best. Buy some chewey oatmeal cookies for your customer care folks.,,2/22/15 12:31,"North Saanich, BC",Pacific Time (US & Canada)
5.69595E+17,neutral,0.6767,,0,American,,RafaANieves,,0,"@AmericanAir if business class if full but 1st class empty, do you guys upgrade EXP members to 1st?",,2/22/15 12:31,,Quito
5.69595E+17,negative,1,Customer Service Issue,1,American,,jmgscott,,0,@AmericanAir I've been trying for 4 hours to get hold of someone.,,2/22/15 12:29,"Dallas, TX",Central Time (US & Canada)
5.69595E+17,positive,0.6566,,0,American,,Ag03Recruiter,,0,@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,,2/22/15 12:28,"Fort Worth, TX",Central Time (US & Canada)
5.69594E+17,negative,0.7021,Late Flight,0.7021,American,,JasonPeppel,,0,@AmericanAir what are my chances of making a connection to El Paso (AA504) with DFW from SAT (AA200) delayed 30 minutes?,,2/22/15 12:27,,
5.69594E+17,negative,1,Customer Service Issue,1,American,,ColourBasis,,0,"@AmericanAir  beyond frustrated with no call back from auto hold or whatever you call it. Entered my number at 11:30 CST, still no call 2:26",,2/22/15 12:26,"National, based in Texas",Central Time (US & Canada)
5.69594E+17,negative,1,Customer Service Issue,0.6275,American,,TomGasparetti,,0,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,,2/22/15 12:26,,
5.69594E+17,negative,0.7094,Customer Service Issue,0.7094,American,,guernicaguy,,0,@AmericanAir Hey AA - can you help with an itinerary for a plat custy?  Stuck in PVR and phones aren't working,,2/22/15 12:25,,
5.69594E+17,negative,0.6541,Customer Service Issue,0.6541,American,,otisday,,0,@AmericanAir @ShannonBloom Where's my DM? Where's my voucher? Who's paying my $70 cab and my $50 car back to JFK tomorrow?,,2/22/15 12:24,Pekin,Eastern Time (US & Canada)
5.69593E+17,negative,1,Customer Service Issue,1,American,,catiekate,,0,@AmericanAir we've been on hold for hours.,"[35.22534456, -106.57241352]",2/22/15 12:23,,
5.69593E+17,negative,1,Late Flight,1,American,,otisday,,0,@AmericanAir @Stone9956 Do you dislike delays when they're caused by YOUR crew forgetting to load bags &amp; lazy pilot wanting duty day to end?,,2/22/15 12:23,Pekin,Eastern Time (US & Canada)
5.69593E+17,neutral,1,,,American,,WishUpon_26,,0,@AmericanAir can you guys help me please?,,2/22/15 12:22,KY,Eastern Time (US & Canada)
5.69593E+17,negative,1,Cancelled Flight,0.3704,American,,otisday,,0,@AmericanAir @travisamex It's not the weather. It's also gross incompetence. Understaffing. Crew forgetting to load bags. Don't duck truth.,,2/22/15 12:22,Pekin,Eastern Time (US & Canada)
5.69593E+17,neutral,0.6521,,,American,,EricRoberts,,0,http://t.co/EIw2sYb8Fu roberts&amp;s=1 @AmericanAir,,2/22/15 12:22,"Los Angeles, CA",Pacific Time (US & Canada)
